Fecha;Producto;unidades;Impuesto Componente Base;Impuesto Componente Variable;Credito fiscal Componente Variable;Impuesto Específico Resultante
02-02-2012;Gasolina Automotriz;UTM/m3;6;-;;6,0000
02-02-2012;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
02-02-2012;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
02-02-2012;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
09-02-2012;Gasolina Automotriz;UTM/m3;6;-;;6,0000
09-02-2012;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
09-02-2012;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
09-02-2012;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
16-02-2012;Gasolina Automotriz;UTM/m3;6;-;;6,0000
16-02-2012;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
16-02-2012;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
16-02-2012;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
23-02-2012;Gasolina Automotriz;UTM/m3;6;-;-0,3204;5,6796
23-02-2012;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
23-02-2012;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
23-02-2012;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
01-03-2012;Gasolina Automotriz;UTM/m3;6;-;-0,3719;5,6281
01-03-2012;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
01-03-2012;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
01-03-2012;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
08-03-2012;Gasolina Automotriz;UTM/m3;6;-;-0,4187;5,5813
08-03-2012;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
08-03-2012;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
08-03-2012;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
15-03-2012;Gasolina Automotriz;UTM/m3;6;-;-0,376;5,6240
15-03-2012;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
15-03-2012;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
15-03-2012;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
22-03-2012;Gasolina Automotriz;UTM/m3;6;-;-0,4423;5,5577
22-03-2012;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
22-03-2012;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;-0,0668;;1,3332
22-03-2012;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;-0,1015;;1,8285
29-03-2012;Gasolina Automotriz;UTM/m3;6;-;-0,5372;5,4628
29-03-2012;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
29-03-2012;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;-0,1205;;1,2795
29-03-2012;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;-0,1831;;1,7469
05-04-2012;Gasolina Automotriz;UTM/m3;6;-;-0,8745;5,1255
05-04-2012;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
05-04-2012;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;-0,1072;;1,2928
05-04-2012;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;-0,1629;;1,7671
12-04-2012;Gasolina Automotriz;UTM/m3;6;-;-0,8922;5,1078
12-04-2012;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
12-04-2012;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;-0,0712;;1,3288
12-04-2012;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;-0,1082;;1,8218
19-04-2012;Gasolina Automotriz;UTM/m3;6;-;-0,4354;5,5646
19-04-2012;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
19-04-2012;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
19-04-2012;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
26-04-2012;Gasolina Automotriz;UTM/m3;6;-;-0,259;5,7410
26-04-2012;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
26-04-2012;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
26-04-2012;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
03-05-2012;Gasolina Automotriz;UTM/m3;6;-;;6,0000
03-05-2012;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
03-05-2012;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
10-05-2012;Gasolina Automotriz;UTM/m3;6;-;;6,0000
10-05-2012;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
10-05-2012;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
10-05-2012;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
17-05-2012;Gasolina Automotriz;UTM/m3;6;-;;6,0000
17-05-2012;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
17-05-2012;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
17-05-2012;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
24-05-2012;Gasolina Automotriz;UTM/m3;6;-;;6,0000
24-05-2012;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
24-05-2012;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
24-05-2012;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
31-05-2012;Gasolina Automotriz;UTM/m3;6;-;;6,0000
31-05-2012;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
31-05-2012;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
31-05-2012;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
07-06-2012;Gasolina Automotriz;UTM/m3;6;-;;6,0000
07-06-2012;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
07-06-2012;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0,2394;;1,6394
07-06-2012;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0,3638;;2,2938
14-06-2012;Gasolina Automotriz;UTM/m3;6;-;;6,0000
14-06-2012;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
14-06-2012;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
14-06-2012;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
21-06-2012;Gasolina Automotriz;UTM/m3;6;-;;6,0000
21-06-2012;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
21-06-2012;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
21-06-2012;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
28-06-2012;Gasolina Automotriz;UTM/m3;6;-;;6,0000
28-06-2012;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
28-06-2012;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
28-06-2012;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
